AUTH_METHOD;TIMESTAMP;ACCOUNT_UID;ACCOUNT_NAME;ACCOUNT_EMAIL;ACCOUNT_ORGANIZATION_UID;ACCOUNT_ORGANIZATION_NAME;ACCOUNT_TAGS;FINDING_UID;PROVIDER;CHECK_ID;CHECK_TITLE;CHECK_TYPE;STATUS;STATUS_EXTENDED;MUTED;SERVICE_NAME;SUBSERVICE_NAME;SEVERITY;RESOURCE_TYPE;RESOURCE_UID;RESOURCE_NAME;RESOURCE_DETAILS;RESOURCE_TAGS;PARTITION;REGION;DESCRIPTION;RISK;RELATED_URL;REMEDIATION_RECOMMENDATION_TEXT;REMEDIATION_RECOMMENDATION_URL;REMEDIATION_CODE_NATIVEIAC;REMEDIATION_CODE_TERRAFORM;REMEDIATION_CODE_CLI;REMEDIATION_CODE_OTHER;COMPLIANCE;CATEGORIES;DEPENDS_ON;RELATED_TO;NOTES;PROWLER_VERSION;ADDITIONAL_URLS
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0060-iac-branch-.;iac;AWS-0060;IAM Password policy should have requirement for at least one symbol in the password.;Infrastructure as Code;PASS;No issues found;False;terraform;;medium;iac;.;.;;;;branch;"IAM account password policies should ensure that passwords content including a symbol.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0060;Enforce longer, more complex passwords in the policy;https://avd.aquasec.com/misconfig/aws-0060;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0061-iac-branch-.;iac;AWS-0061;IAM Password policy should have requirement for at least one uppercase character.;Infrastructure as Code;PASS;No issues found;False;terraform;;medium;iac;.;.;;;;branch;",

IAM account password policies should ensure that passwords content including at least one uppercase character.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0061;Enforce longer, more complex passwords in the policy;https://avd.aquasec.com/misconfig/aws-0061;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0062-iac-branch-.;iac;AWS-0062;IAM Password policy should have expiry less than or equal to 90 days.;Infrastructure as Code;PASS;No issues found;False;terraform;;medium;iac;.;.;;;;branch;"IAM account password policies should have a maximum age specified.

The account password policy should be set to expire passwords after 90 days or less.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0062;Limit the password duration with an expiry in the policy;https://avd.aquasec.com/misconfig/aws-0062;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0063-iac-branch-.;iac;AWS-0063;IAM Password policy should have minimum password length of 14 or more characters.;Infrastructure as Code;PASS;No issues found;False;terraform;;medium;iac;.;.;;;;branch;"IAM account password policies should ensure that passwords have a minimum length.

The account password policy should be set to enforce minimum password length of at least 14 characters.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0063;Enforce longer, more complex passwords in the policy;https://avd.aquasec.com/misconfig/aws-0063;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0086-iac-branch-.;iac;AWS-0086;S3 Access block should block public ACL;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"S3 buckets should block public ACLs on buckets and any objects they contain. By blocking, PUTs with fail if the object has any public ACL a.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0086;Enable blocking any PUT calls with a public ACL specified;https://avd.aquasec.com/misconfig/aws-0086;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0087-iac-branch-.;iac;AWS-0087;S3 Access block should block public policy;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"S3 bucket policy should have block public policy to prevent users from putting a policy that enable public access.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0087;Prevent policies that allow public access being PUT;https://avd.aquasec.com/misconfig/aws-0087;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0090-iac-branch-.;iac;AWS-0090;S3 Data should be versioned;Infrastructure as Code;PASS;No issues found;False;terraform;;medium;iac;.;.;;;;branch;"Versioning in Amazon S3 is a means of keeping multiple variants of an object in the same bucket.

You can use the S3 Versioning feature to preserve, retrieve, and restore every version of every object stored in your buckets.

With versioning you can recover more easily from both unintended user actions and application failures.

When you enable versioning, also keep in mind the potential costs of storing noncurrent versions of objects. To help manage those costs, consider setting up an S3 Lifecycle configuration.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0090;Enable versioning to protect against accidental/malicious removal or modification;https://avd.aquasec.com/misconfig/aws-0090;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0091-iac-branch-.;iac;AWS-0091;S3 Access Block should Ignore Public ACL;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"S3 buckets should ignore public ACLs on buckets and any objects they contain. By ignoring rather than blocking, PUT calls with public ACLs will still be applied but the ACL will be ignored.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0091;Enable ignoring the application of public ACLs in PUT calls;https://avd.aquasec.com/misconfig/aws-0091;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0092-iac-branch-.;iac;AWS-0092;S3 Buckets not publicly accessible through ACL.;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"Buckets should not have ACLs that allow public access
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0092;Don't use canned ACLs or switch to private acl;https://avd.aquasec.com/misconfig/aws-0092;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0093-iac-branch-.;iac;AWS-0093;S3 Access block should restrict public bucket to limit access;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"S3 buckets should restrict public policies for the bucket. By enabling, the restrict_public_buckets, only the bucket owner and AWS Services can access if it has a public policy.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0093;"Limit the access to public buckets to only the owner or AWS Services (eg; CloudFront)";https://avd.aquasec.com/misconfig/aws-0093;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0094-iac-branch-.;iac;AWS-0094;S3 buckets should each define an aws_s3_bucket_public_access_block;Infrastructure as Code;PASS;No issues found;False;terraform;;low;iac;.;.;;;;branch;"The ""block public access"" settings in S3 override individual policies that apply to a given bucket, meaning that all public access can be controlled in one central types for that bucket. It is therefore good practice to define these settings for each bucket in order to clearly define the public access that can be allowed for it.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0094;Define a aws_s3_bucket_public_access_block for the given bucket to control public access policies;https://avd.aquasec.com/misconfig/aws-0094;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0099-iac-branch-.;iac;AWS-0099;Missing description for security group.;Infrastructure as Code;PASS;No issues found;False;terraform;;low;iac;.;.;;;;branch;"Security groups should include a description for auditing purposes.

Simplifies auditing, debugging, and managing security groups.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0099;Add descriptions for all security groups;https://avd.aquasec.com/misconfig/aws-0099;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0101-iac-branch-.;iac;AWS-0101;AWS best practice to not use the default VPC for workflows;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"Default VPC does not have a lot of the critical security features that standard VPC comes with, new resources should not be created in the default VPC and it should not be present in the Terraform.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0101;Create a non-default vpc for resources to be created in;https://avd.aquasec.com/misconfig/aws-0101;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0102-iac-branch-.;iac;AWS-0102;An Network ACL rule allows ALL ports.;Infrastructure as Code;PASS;No issues found;False;terraform;;critical;iac;.;.;;;;branch;"Ensure access to specific required ports is allowed, and nothing else.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0102;Set specific allowed ports;https://avd.aquasec.com/misconfig/aws-0102;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0105-iac-branch-.;iac;AWS-0105;Network ACLs should not allow unrestricted ingress to SSH or RDP from any IP address.;Infrastructure as Code;PASS;No issues found;False;terraform;;medium;iac;.;.;;;;branch;"The Network Access Control List (NACL) function provide stateless filtering of ingress and
egress network traffic to AWS resources. It is recommended that no NACL allows
unrestricted ingress access to remote server administration ports, such as SSH to port 22
and RDP to port 3389.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0105;Set a more restrictive CIDR range;https://avd.aquasec.com/misconfig/aws-0105;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0107-iac-branch-.;iac;AWS-0107;Security groups should not allow unrestricted ingress to SSH or RDP from any IP address.;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"Security groups provide stateful filtering of ingress and egress network traffic to AWS
resources. It is recommended that no security group allows unrestricted ingress access to
remote server administration ports, such as SSH to port 22 and RDP to port 3389.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0107;Set a more restrictive CIDR range;https://avd.aquasec.com/misconfig/aws-0107;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0122-iac-branch-.;iac;AWS-0122;Ensure all data stored in the launch configuration EBS is securely encrypted;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"When creating Launch Configurations, user data can be used for the initial configuration of the instance. User data must not contain any sensitive data.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0122;Don't use sensitive data in user data;https://avd.aquasec.com/misconfig/aws-0122;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0123-iac-branch-.;iac;AWS-0123;IAM groups should have MFA enforcement activated.;Infrastructure as Code;PASS;No issues found;False;terraform;;medium;iac;.;.;;;;branch;"IAM groups should be protected with multi factor authentication to add safe guards to password compromise.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0123;Use terraform-module/enforce-mfa/aws to ensure that MFA is enforced;https://avd.aquasec.com/misconfig/aws-0123;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0129-iac-branch-.;iac;AWS-0129;User data for EC2 instances must not contain sensitive AWS keys;Infrastructure as Code;PASS;No issues found;False;terraform;;critical;iac;.;.;;;;branch;"EC2 instance data is used to pass start up information into the EC2 instance. This userdata must not contain access key credentials. Instead use an IAM Instance Profile assigned to the instance to grant access to other AWS Services.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0129;Remove sensitive data from the EC2 instance user-data generated by launch templates;https://avd.aquasec.com/misconfig/aws-0129;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0130-iac-branch-.;iac;AWS-0130;aws_instance should activate session tokens for Instance Metadata Service.;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"IMDS v2 (Instance Metadata Service) introduced session authentication tokens which improve security when talking to IMDS.

By default <code>aws_instance</code> resource sets IMDS session auth tokens to be optional.

To fully protect IMDS you need to enable session tokens by using <code>metadata_options</code> block and its <code>http_tokens</code> variable set to <code>required</code>.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0130;Enable HTTP token requirement for IMDS;https://avd.aquasec.com/misconfig/aws-0130;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0131-iac-branch-.;iac;AWS-0131;Instance with unencrypted block device.;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"Block devices should be encrypted to ensure sensitive data is held securely at rest.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0131;Turn on encryption for all block devices;https://avd.aquasec.com/misconfig/aws-0131;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0140-iac-branch-.;iac;AWS-0140;"The ""root"" account has unrestricted access to all resources in the AWS account. It is highly recommended that the use of this account be avoided.";Infrastructure as Code;PASS;No issues found;False;terraform;;low;iac;.;.;;;;branch;"The root user has unrestricted access to all services and resources in an AWS account. We highly recommend that you avoid using the root user for daily tasks. Minimizing the use of the root user and adopting the principle of least privilege for access management reduce the risk of accidental changes and unintended disclosure of highly privileged credentials.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0140;Use lower privileged accounts instead, so only required privileges are available.;https://avd.aquasec.com/misconfig/aws-0140;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0141-iac-branch-.;iac;AWS-0141;The root user has complete access to all services and resources in an AWS account. AWS Access Keys provide programmatic access to a given account.;Infrastructure as Code;PASS;No issues found;False;terraform;;critical;iac;.;.;;;;branch;"CIS recommends that all access keys be associated with the root user be removed. Removing access keys associated with the root user limits vectors that the account can be compromised by. Removing the root user access keys also encourages the creation and use of role-based accounts that are least privileged.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0141;Use lower privileged accounts instead, so only required privileges are available.;https://avd.aquasec.com/misconfig/aws-0141;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0143-iac-branch-.;iac;AWS-0143;IAM policies should not be granted directly to users.;Infrastructure as Code;PASS;No issues found;False;terraform;;low;iac;.;.;;;;branch;"CIS recommends that you apply IAM policies directly to groups and roles but not users. Assigning privileges at the group or role level reduces the complexity of access management as the number of users grow. Reducing access management complexity might in turn reduce opportunity for a principal to inadvertently receive or retain excessive privileges.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0143;Grant policies at the group level instead.;https://avd.aquasec.com/misconfig/aws-0143;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0164-iac-branch-.;iac;AWS-0164;Instances in a subnet should not receive a public IP address by default.;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"You should limit the provision of public IP addresses for resources. Resources should not be exposed on the public internet, but should have access limited to consumers required for the function of your application.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0164;Set the instance to not be publicly accessible;https://avd.aquasec.com/misconfig/aws-0164;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0178-iac-branch-.;iac;AWS-0178;"VPC Flow Logs is a feature that enables you to capture information about the IP traffic going to and from network interfaces in your VPC. After you've created a flow log, you can view and retrieve its data in Amazon CloudWatch Logs. It is recommended that VPC Flow Logs be enabled for packet ""Rejects"" for VPCs.";Infrastructure as Code;PASS;No issues found;False;terraform;;medium;iac;.;.;;;;branch;"VPC Flow Logs provide visibility into network traffic that traverses the VPC and can be used to detect anomalous traffic or insight during security workflows.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0178;Enable flow logs for VPC;https://avd.aquasec.com/misconfig/aws-0178;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0320-iac-branch-.;iac;AWS-0320;S3 DNS Compliant Bucket Names;Infrastructure as Code;PASS;No issues found;False;terraform;;medium;iac;.;.;;;;branch;Ensures that S3 buckets have DNS complaint bucket names.;This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0320;Recreate S3 bucket to use - instead of . in S3 bucket names;https://avd.aquasec.com/misconfig/aws-0320;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0342-iac-branch-.;iac;AWS-0342;IAM Pass Role Filtering;Infrastructure as Code;PASS;No issues found;False;terraform;;medium;iac;.;.;;;;branch;Ensures any IAM pass role attached to roles are flagged and warned.;This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0342;Resolve permission escalations by denying pass role';https://avd.aquasec.com/misconfig/aws-0342;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0344-iac-branch-.;iac;AWS-0344;AWS AMI data source should specify owners;Infrastructure as Code;PASS;No issues found;False;terraform;;low;iac;.;.;;;;branch;"AWS AMI data source should specify owners to avoid using unverified AMIs.
The owners field helps ensure you're using AMIs from known and trusted sources.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0344;Specify the owners field in the AWS AMI data source configuration;https://avd.aquasec.com/misconfig/aws-0344;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0345-iac-branch-.;iac;AWS-0345;Disallow unrestricted S3 IAM Policies;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;Ensure that the creation of the unrestricted S3 IAM policies is disallowed.;This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0345;Create more restrictive S3 policies;https://avd.aquasec.com/misconfig/aws-0345;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0346-iac-branch-.;iac;AWS-0346;Reduce unnecessary unauthorized access or information disclosure of S3 buckets.;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;Unnecessary access to S3 buckets can lead to unauthorized access or information disclosure.;This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0346;Allowing Get* along with Put* on all Resources can potentially allow unauthorized access and/or information disclosure from sensitive buckets.;https://avd.aquasec.com/misconfig/aws-0346;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AZU-0007-iac-branch-.;iac;AZU-0007;Storage containers in blob storage mode should not have public access;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"Storage container public access should be off. It can be configured for blobs only, containers and blobs or off entirely. The default is off, with no public access.
Explicitly overriding publicAccess to anything other than off should be avoided.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/azu-0007;Disable public access to storage containers;https://avd.aquasec.com/misconfig/azu-0007;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AZU-0008-iac-branch-.;iac;AZU-0008;Storage accounts should be configured to only accept transfers that are over secure connections;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"You can configure your storage account to accept requests from secure connections only by setting the Secure transfer required property for the storage account.
When you require secure transfer, any requests originating from an insecure connection are rejected.
Microsoft recommends that you always require secure transfer for all of your storage accounts.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/azu-0008;Only allow secure connection for transferring data into storage accounts;https://avd.aquasec.com/misconfig/azu-0008;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AZU-0009-iac-branch-.;iac;AZU-0009;When using Queue Services for a storage account, logging should be enabled.;Infrastructure as Code;PASS;No issues found;False;terraform;;medium;iac;.;.;;;;branch;"Storage Analytics logs detailed information about successful and failed requests to a storage service.
This information can be used to monitor individual requests and to diagnose issues with a storage service.
Requests are logged on a best-effort basis.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/azu-0009;Enable logging for Queue Services;https://avd.aquasec.com/misconfig/azu-0009;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AZU-0010-iac-branch-.;iac;AZU-0010;Trusted Microsoft Services should have bypass access to Storage accounts;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"Some Microsoft services that interact with storage accounts operate from networks that can't be granted access through network rules.
To help this type of service work as intended, allow the set of trusted Microsoft services to bypass the network rules
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/azu-0010;Allow Trusted Microsoft Services to bypass;https://avd.aquasec.com/misconfig/azu-0010;;;;;;;;;;5.18.1;
